employee_id,first_name,last_name,age,gender,department,designation,salary,joining_date,experience,performance_score,city,status,department_id
EMP-2001,First_1,Last_1,44,M,Sales,Consultant,92655,2023-05-12,7,3,Chicago,Active,401
EMP-2002,First_2,Last_2,31,M,HR,Consultant,111897,2023-05-12,5,1,Chicago,Active,401
EMP-2003,First_3,Last_3,34,F,Engineering,Consultant,99415,2023-05-12,8,1,Denver,Active,401
EMP-2004,First_4,Last_4,35,M,Sales,Consultant,110267,2023-05-12,1,1,Chicago,Active,401
EMP-2005,First_5,Last_5,49,F,Product,Consultant,77076,2023-05-12,1,4,New York,Active,401
EMP-2006,First_6,Last_6,26,M,HR,Consultant,89573,2023-05-12,7,3,Chicago,Active,401
EMP-2007,First_7,Last_7,23,M,Engineering,Consultant,90957,2023-05-12,7,2,San Francisco,Active,401
EMP-2008,First_8,Last_8,44,M,Marketing,Consultant,112179,2023-05-12,5,4,Austin,Active,401
EMP-2009,First_9,Last_9,48,F,HR,Consultant,89990,2023-05-12,1,3,Chicago,Active,401
EMP-2010,First_10,Last_10,32,F,Sales,Consultant,125225,2023-05-12,10,2,San Francisco,Active,401
EMP-2011,First_11,Last_11,37,M,Product,Consultant,106649,2023-05-12,7,2,New York,Active,401
EMP-2012,First_12,Last_12,22,F,HR,Consultant,56746,2023-05-12,6,3,San Francisco,Active,401
EMP-2013,First_13,Last_13,53,M,HR,Consultant,110841,2023-05-12,8,2,Denver,Active,401
EMP-2014,First_14,Last_14,44,F,HR,Consultant,86813,2023-05-12,8,2,San Francisco,Active,401
EMP-2015,First_15,Last_15,47,F,Engineering,Consultant,57318,2023-05-12,7,1,San Francisco,Active,401
EMP-2016,First_16,Last_16,36,M,Sales,Consultant,60687,2023-05-12,4,2,New York,Active,401
EMP-2017,First_17,Last_17,52,M,Product,Consultant,121851,2023-05-12,8,3,Denver,Active,401
EMP-2018,First_18,Last_18,32,M,HR,Consultant,102476,2023-05-12,2,2,Chicago,Active,401
EMP-2019,First_19,Last_19,39,M,Sales,Consultant,56523,2023-05-12,4,1,San Francisco,Active,401
EMP-2020,First_20,Last_20,31,F,HR,Consultant,122471,2023-05-12,1,1,New York,Active,401
EMP-2021,First_21,Last_21,22,M,Engineering,Consultant,67763,2023-05-12,1,3,San Francisco,Active,401
EMP-2022,First_22,Last_22,42,M,Engineering,Consultant,71459,2023-05-12,2,3,Austin,Active,401
EMP-2023,First_23,Last_23,37,M,Product,Consultant,87754,2023-05-12,1,2,San Francisco,Active,401
EMP-2024,First_24,Last_24,40,M,Engineering,Consultant,80289,2023-05-12,10,3,Austin,Active,401
EMP-2025,First_25,Last_25,35,M,Sales,Consultant,122929,2023-05-12,8,3,Denver,Active,401
EMP-2026,First_26,Last_26,26,M,Sales,Consultant,114983,2023-05-12,5,3,Austin,Active,401
EMP-2027,First_27,Last_27,51,M,Marketing,Consultant,102587,2023-05-12,9,3,New York,Active,401
EMP-2028,First_28,Last_28,52,F,Marketing,Consultant,131963,2023-05-12,1,3,San Francisco,Active,401
EMP-2029,First_29,Last_29,23,M,Marketing,Consultant,96872,2023-05-12,9,2,Austin,Active,401
EMP-2030,First_30,Last_30,52,M,HR,Consultant,97421,2023-05-12,10,1,San Francisco,Active,401
EMP-2031,First_31,Last_31,31,F,Sales,Consultant,61118,2023-05-12,7,2,Chicago,Active,401
EMP-2032,First_32,Last_32,45,M,Product,Consultant,109171,2023-05-12,11,2,San Francisco,Active,401
EMP-2033,First_33,Last_33,34,M,HR,Consultant,64513,2023-05-12,1,4,San Francisco,Active,401
EMP-2034,First_34,Last_34,52,M,Product,Consultant,107737,2023-05-12,4,1,Denver,Active,401
EMP-2035,First_35,Last_35,32,F,HR,Consultant,99090,2023-05-12,3,1,Austin,Active,401
EMP-2036,First_36,Last_36,34,M,Product,Consultant,68280,2023-05-12,9,2,Austin,Active,401
EMP-2037,First_37,Last_37,27,M,Product,Consultant,59549,2023-05-12,8,3,San Francisco,Active,401
EMP-2038,First_38,Last_38,39,M,HR,Consultant,63873,2023-05-12,9,3,Austin,Active,401
EMP-2039,First_39,Last_39,45,F,Product,Consultant,86202,2023-05-12,8,1,New York,Active,401
EMP-2040,First_40,Last_40,24,M,HR,Consultant,103260,2023-05-12,9,4,Denver,Active,401
EMP-2041,First_41,Last_41,47,M,Engineering,Consultant,132407,2023-05-12,5,4,Austin,Active,401
EMP-2042,First_42,Last_42,34,F,Marketing,Consultant,68837,2023-05-12,6,4,New York,Active,401
EMP-2043,First_43,Last_43,23,M,Product,Consultant,113293,2023-05-12,6,3,New York,Active,401
EMP-2044,First_44,Last_44,50,F,Marketing,Consultant,116153,2023-05-12,6,3,New York,Active,401
EMP-2045,First_45,Last_45,54,F,Sales,Consultant,97560,2023-05-12,7,1,New York,Active,401
EMP-2046,First_46,Last_46,48,M,Marketing,Consultant,100644,2023-05-12,2,3,Austin,Active,401
EMP-2047,First_47,Last_47,35,F,HR,Consultant,74229,2023-05-12,7,3,San Francisco,Active,401
EMP-2048,First_48,Last_48,49,M,Sales,Consultant,67846,2023-05-12,6,4,Austin,Active,401
EMP-2049,First_49,Last_49,52,M,Marketing,Consultant,57933,2023-05-12,2,1,Austin,Active,401
EMP-2050,First_50,Last_50,47,F,Engineering,Consultant,90511,2023-05-12,1,4,Chicago,Active,401
EMP-2051,First_51,Last_51,31,M,Engineering,Consultant,113714,2023-05-12,5,1,Denver,Active,401
EMP-2052,First_52,Last_52,24,M,Sales,Consultant,119668,2023-05-12,11,4,Denver,Active,401
EMP-2053,First_53,Last_53,41,F,Sales,Consultant,64320,2023-05-12,6,3,Denver,Active,401
EMP-2054,First_54,Last_54,48,M,HR,Consultant,113909,2023-05-12,6,3,San Francisco,Active,401
EMP-2055,First_55,Last_55,31,M,Sales,Consultant,96316,2023-05-12,10,4,New York,Active,401
EMP-2056,First_56,Last_56,41,F,Sales,Consultant,132311,2023-05-12,4,3,Denver,Active,401
EMP-2057,First_57,Last_57,42,F,Sales,Consultant,69083,2023-05-12,1,2,Denver,Active,401
EMP-2058,First_58,Last_58,25,F,Marketing,Consultant,105127,2023-05-12,2,4,Chicago,Active,401
EMP-2059,First_59,Last_59,23,M,Sales,Consultant,97682,2023-05-12,1,2,Austin,Active,401
EMP-2060,First_60,Last_60,29,M,Marketing,Consultant,126303,2023-05-12,4,1,Denver,Active,401
EMP-2061,First_61,Last_61,39,F,HR,Consultant,91171,2023-05-12,7,2,Austin,Active,401
EMP-2062,First_62,Last_62,35,F,Sales,Consultant,123186,2023-05-12,2,3,Chicago,Active,401
EMP-2063,First_63,Last_63,40,M,HR,Consultant,62739,2023-05-12,2,1,San Francisco,Active,401
EMP-2064,First_64,Last_64,46,M,Product,Consultant,69586,2023-05-12,1,3,New York,Active,401
EMP-2065,First_65,Last_65,33,M,Marketing,Consultant,98654,2023-05-12,8,3,Denver,Active,401
EMP-2066,First_66,Last_66,49,M,Engineering,Consultant,69336,2023-05-12,4,3,San Francisco,Active,401
EMP-2067,First_67,Last_67,24,F,HR,Consultant,128673,2023-05-12,4,1,New York,Active,401
EMP-2068,First_68,Last_68,25,F,HR,Consultant,81659,2023-05-12,2,2,Denver,Active,401
EMP-2069,First_69,Last_69,41,F,Engineering,Consultant,90642,2023-05-12,10,4,Denver,Active,401
EMP-2070,First_70,Last_70,52,M,Sales,Consultant,110266,2023-05-12,9,2,San Francisco,Active,401
EMP-2071,First_71,Last_71,54,F,Sales,Consultant,134337,2023-05-12,4,3,New York,Active,401
EMP-2072,First_72,Last_72,38,M,Sales,Consultant,83455,2023-05-12,9,3,San Francisco,Active,401
EMP-2073,First_73,Last_73,41,M,Marketing,Consultant,110553,2023-05-12,8,3,Denver,Active,401
